province,year,Okuma Yazma Bilmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,İlkokul,Ortaokul veya Dengi Meslek Okulu,İlköğretim,Lise veya Dengi Meslek Okulu,Yüksekokul veya Fakülte,Yüksek Lisans ve Üzeri,Bilinmeyen,Toplam
MUŞ,2018,25.725,67.234,85.372,53.821,46.487,41.755,24.178,1.931,2.399,348.902
MUŞ,2023,18.867,55.065,71.335,83.452,21.965,64.617,31.047,4.099,1.658,352.105
NEVŞEHİR,2008,18.576,51.948,90.509,11.596,28.758,33.510,10.609,511,8.130,254.147
NEVŞEHİR,2013,10.094,46.836,71.229,12.187,52.560,41.633,20.737,1.500,2.092,258.868
NEVŞEHİR,2018,7.564,23.870,77.324,35.670,34.604,54.027,29.290,2.881,2.223,267.453
NEVŞEHİR,2023,6.073,24.515,71.717,50.273,21.675,67.593,40.696,5.336,6.028,293.906
NİĞDE,2008,26.363,67.764,97.501,10.340,35.581,37.136,12.336,955,13.024,301.000
NİĞDE,2013,13.703,64.013,80.815,11.531,66.073,44.763,22.796,2.125,1.855,307.674
NİĞDE,2018,10.717,32.726,93.735,45.770,47.336,60.832,32.127,3.533,1.322,328.098
NİĞDE,2023,8.846,32.120,87.185,68.287,28.474,73.020,41.678,6.180,2.435,348.225
ORDU,2008,84.429,142.611,187.093,26.114,70.646,87.583,24.726,1.014,34.135,658.351
ORDU,2013,47.402,140.887,159.694,29.614,120.087,106.538,49.084,3.056,16.683,673.045
ORDU,2018,40.872,84.700,189.107,93.250,80.665,135.206,75.310,6.102,4.266,709.478
ORDU,2023,32.130,77.173,176.222,122.927,50.765,157.776,96.926,10.593,4.647,729.159
OSMANİYE,2008,38.429,93.304,105.958,19.423,46.837,63.445,17.289,601,25.556,410.842
OSMANİYE,2013,27.468,96.451,85.985,20.335,86.806,77.059,37.229,1.669,9.450,442.452
OSMANİYE,2018,22.214,52.228,114.282,69.347,55.463,99.244,57.071,4.244,4.499,478.592
OSMANİYE,2023,19.003,51.667,106.357,97.757,33.021,117.575,73.202,8.044,3.807,510.433
RİZE,2008,22.854,59.456,86.965,12.026,30.996,46.461,13.309,725,19.556,292.348
RİZE,2013,11.783,54.049,68.825,13.035,57.399,59.584,27.267,2.239,8.249,302.430
RİZE,2018,10.949,30.688,78.804,43.674,36.153,74.889,41.364,4.046,1.532,322.099
RİZE,2023,8.675,28.357,69.767,51.464,22.447,87.188,52.979,6.515,1.110,328.502
SAKARYA,2008,43.246,151.720,262.663,36.450,81.087,118.536,32.837,2.810,43.493,772.842
SAKARYA,2013,29.257,141.972,212.269,37.964,160.804,155.793,69.985,7.087,17.138,832.269
SAKARYA,2018,23.203,76.354,244.086,121.870,108.388,204.318,105.289,12.050,6.777,902.335
SAKARYA,2023,19.383,82.613,231.603,168.507,67.711,264.600,149.681,20.178,11.597,1.015.873
SAMSUN,2008,104.249,241.473,345.170,39.204,124.470,150.847,51.931,3.353,65.015,1.125.712
SAMSUN,2013,35.682,248.585,294.295,42.210,223.413,180.276,102.817,8.370,18.156,1.153.804
SAMSUN,2018,29.313,141.184,328.879,151.615,147.958,229.942,153.056,15.284,6.906,1.204.137
SAMSUN,2023,24.894,131.855,310.557,207.702,90.850,285.026,200.441,26.163,11.448,1.288.936
SİİRT,2008,46.675,91.864,28.337,3.993,29.292,24.807,5.920,376,18.529,249.793
SİİRT,2013,25.872,95.077,28.874,4.870,60.265,30.645,15.916,889,4.075,266.483
